loan_id,age,education,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
1663,42,2.0,VoterID,884532.0,1031760.0,6,5,0,1
4399,30,1.0,Aadhar,688308.0,788508.0,0,0,0,0
4777,49,2.0,Aadhar,564348.0,924564.0,3,2,0,0
1916,40,2.0,Aadhar,393408.0,494664.0,0,0,0,0
5149,48,2.0,Aadhar,609600.0,777636.0,6,3,0,0
3893,37,1.0,Aadhar,641736.0,737640.0,0,0,0,0
5067,44,2.0,Aadhar,642156.0,944640.0,0,0,0,0
642,46,2.0,Aadhar,705108.0,827292.0,0,0,0,0
3560,37,2.0,VoterID,730164.0,921960.0,0,0,0,0
6011,27,1.0,Aadhar,621636.0,823128.0,0,0,0,0
2179,31,2.0,Aadhar,944232.0,1314000.0,0,0,0,0
298,37,1.0,Driving,475128.0,703956.0,0,0,0,1
304,25,2.0,VoterID,950232.0,1319412.0,0,0,0,1
2338,39,2.0,Aadhar,736164.0,899460.0,5,2,0,1
3287,39,2.0,VoterID,729156.0,903600.0,0,0,0,1
6451,29,1.0,Aadhar,692184.0,826200.0,0,0,0,0
4769,34,2.0,Aadhar,770556.0,1005360.0,77,6,0,0
1980,30,1.0,Aadhar,772428.0,1052340.0,2,0,0,0
5885,28,1.0,Aadhar,612036.0,829416.0,0,0,0,0
656,26,,Aadhar,568188.0,818520.0,0,0,0,0
1635,27,1.0,Aadhar,554388.0,707520.0,0,0,0,0
4656,37,2.0,Aadhar,835164.0,1069044.0,2,2,0,1
4744,45,1.0,Aadhar,737364.0,894000.0,2,2,0,0
241,29,2.0,Aadhar,715164.0,868128.0,0,0,0,1
784,40,1.0,Aadhar,696036.0,907824.0,4,4,0,1
1355,30,2.0,VoterID,629736.0,920676.0,0,0,0,0
1019,44,2.0,Aadhar,862800.0,1113180.0,10,2,0,0
2355,48,1.0,Aadhar,1305504.0,1680000.0,13,5,0,0
978,25,1.0,PAN,651108.0,967560.0,0,0,0,0
810,34,2.0,Aadhar,872604.0,1287420.0,0,0,0,1
3127,30,1.0,Aadhar,580188.0,794400.0,0,0,0,1
2522,27,2.0,VoterID,730956.0,1110264.0,2,2,0,0
258,33,2.0,Aadhar,684228.0,896220.0,5,5,0,1
894,33,1.0,Aadhar,879600.0,1080000.0,0,0,0,1
4251,33,1.0,Aadhar,510768.0,737760.0,11,3,0,0
5011,30,1.0,Aadhar,386208.0,574800.0,2,0,0,0
6641,36,1.0,VoterID,676956.0,996420.0,0,0,0,0
2406,29,1.0,Aadhar,743364.0,908856.0,0,0,0,0
6785,45,2.0,Aadhar,603636.0,753600.0,8,4,0,1
1761,34,2.0,Aadhar,756744.0,937836.0,0,0,0,1
4814,35,1.0,Aadhar,671508.0,806376.0,0,0,0,0
6657,28,1.0,Aadhar,547740.0,881400.0,0,0,0,0
2111,42,1.0,Aadhar,743364.0,1032864.0,3,2,0,0
2986,33,2.0,PAN,544668.0,822252.0,3,3,0,0
4170,48,1.0,Aadhar,876276.0,1093476.0,3,2,0,0
1358,48,2.0,Aadhar,591936.0,828156.0,2,2,0,1
3614,47,1.0,VoterID,492888.0,832860.0,15,7,0,0
6636,42,2.0,Aadhar,658956.0,759756.0,4,4,0,0
2227,24,,Aadhar,570588.0,789816.0,3,2,0,0
1748,25,1.0,Aadhar,598836.0,781920.0,0,0,0,0
5771,40,2.0,Aadhar,681108.0,940584.0,0,0,0,0
2292,43,2.0,Aadhar,797784.0,879132.0,7,3,0,0
6314,45,2.0,Aadhar,716964.0,812340.0,0,0,0,0
1727,48,2.0,Aadhar,535740.0,761496.0,4,3,0,0
3411,39,1.0,Aadhar,666156.0,877200.0,0,0,0,0
1808,32,2.0,Aadhar,622872.0,828000.0,3,3,1,0
4654,26,2.0,Aadhar,359532.0,978984.0,0,0,0,0
1833,29,1.0,VoterID,1163880.0,1662420.0,0,0,0,0
2639,38,1.0,Aadhar,556740.0,789000.0,2,2,0,1
5949,27,1.0,Aadhar,743364.0,911196.0,0,0,0,0
4152,26,1.0,Aadhar,532188.0,651480.0,0,0,0,0
4047,34,2.0,Aadhar,861804.0,1381800.0,0,0,0,0
1759,48,2.0,Aadhar,669108.0,821856.0,4,3,0,0
2403,34,2.0,Aadhar,702108.0,820800.0,2,0,0,0
6573,37,1.0,Aadhar,630936.0,767784.0,2,2,0,0
3321,50,2.0,VoterID,619236.0,801288.0,4,3,0,1
1093,46,2.0,VoterID,600036.0,788244.0,4,0,0,0
4885,28,1.0,Aadhar,945552.0,1297800.0,6,3,0,1
125,37,2.0,Aadhar,639636.0,749184.0,0,0,0,0
3310,48,2.0,Aadhar,590556.0,782580.0,2,2,0,1
4406,36,1.0,Aadhar,794856.0,1041048.0,0,0,0,1
4463,25,1.0,Aadhar,697956.0,905976.0,0,0,0,1
2615,28,2.0,Aadhar,562860.0,885108.0,0,0,0,1
6945,28,2.0,Aadhar,675108.0,789696.0,2,0,0,0
3492,32,2.0,Aadhar,434028.0,790860.0,0,0,0,1
3164,40,2.0,Aadhar,418068.0,772572.0,3,2,0,0
5097,31,2.0,Aadhar,570588.0,911556.0,0,0,0,0
599,24,1.0,Aadhar,1027440.0,1456944.0,0,0,0,0
76,49,1.0,VoterID,648156.0,748452.0,4,2,0,1
1340,37,1.0,Aadhar,643908.0,849144.0,0,0,0,0
1417,38,1.0,Aadhar,786984.0,929604.0,2,2,0,1
2821,32,2.0,Aadhar,559788.0,737052.0,3,2,0,1
2843,42,1.0,Aadhar,612036.0,744000.0,4,0,0,1
4101,42,1.0,Aadhar,746556.0,896064.0,0,0,0,0
5118,32,1.0,Aadhar,1074660.0,1464000.0,2,2,0,1
3972,31,1.0,Aadhar,630096.0,819036.0,0,0,0,0
6343,29,2.0,Aadhar,765756.0,1811448.0,0,0,0,0
150,34,2.0,Aadhar,436788.0,745800.0,0,0,0,0
3733,37,2.0,VoterID,891012.0,1231200.0,0,0,0,0
1558,42,1.0,Aadhar,608436.0,826752.0,0,0,0,0
3880,44,1.0,Aadhar,734964.0,838476.0,8,2,0,0
454,42,2.0,Aadhar,754800.0,854400.0,0,0,0,0
6499,39,2.0,VoterID,699108.0,845892.0,9,0,0,1
5991,40,1.0,Aadhar,660552.0,799524.0,0,0,0,0
1962,39,2.0,Aadhar,520728.0,740412.0,0,0,0,0
2648,36,2.0,Aadhar,594636.0,868128.0,0,0,0,0
809,34,2.0,Aadhar,759384.0,1062000.0,0,0,0,0
3545,42,2.0,Aadhar,632220.0,753624.0,0,0,0,1
6822,29,2.0,Aadhar,615636.0,784596.0,3,3,0,1
6190,29,1.0,Aadhar,615636.0,749952.0,9,5,0,0
6612,34,2.0,Driving,597336.0,802572.0,0,0,0,1
1120,41,1.0,Aadhar,676956.0,1058664.0,0,0,0,0
3092,41,2.0,Aadhar,727764.0,948000.0,0,0,0,0
811,32,1.0,Aadhar,774276.0,984876.0,10,4,0,0
1130,33,1.0,Aadhar,782028.0,1068132.0,0,0,0,1
835,39,1.0,Aadhar,783828.0,964164.0,0,0,0,1
6746,42,2.0,VoterID,500928.0,782592.0,27,6,0,0
5378,32,2.0,Aadhar,873804.0,1302000.0,0,0,0,1
6691,40,2.0,Aadhar,855804.0,1172772.0,0,0,0,0
4727,50,2.0,Aadhar,538188.0,805728.0,2,2,0,1
1236,42,1.0,Aadhar,778584.0,949800.0,4,0,0,0
1226,41,1.0,Aadhar,413808.0,862536.0,3,3,0,1
5580,47,1.0,VoterID,300348.0,882648.0,2,2,0,0
6883,40,1.0,Aadhar,794184.0,912000.0,6,5,0,0
5642,49,2.0,Aadhar,648756.0,840000.0,2,2,0,0
4323,43,2.0,Aadhar,638436.0,887160.0,0,0,0,0
4508,28,2.0,Aadhar,377808.0,1196700.0,0,0,0,1
4642,45,1.0,Aadhar,702108.0,815784.0,3,2,0,0
4900,24,2.0,VoterID,580188.0,737232.0,2,2,0,0
2158,40,2.0,Aadhar,766956.0,872328.0,0,0,0,1
1028,33,2.0,Aadhar,627636.0,940728.0,0,0,0,0
3997,27,1.0,Aadhar,1004112.0,1364748.0,0,0,0,0
2944,34,1.0,Aadhar,359808.0,505200.0,0,0,0,0
350,48,2.0,VoterID,642156.0,748392.0,5,4,1,0
453,42,2.0,Aadhar,704496.0,953544.0,0,0,0,0
663,36,1.0,Aadhar,770184.0,954000.0,0,0,0,1
173,29,1.0,Aadhar,583188.0,758904.0,0,0,0,0
1406,24,,Aadhar,621636.0,804000.0,0,0,0,1
1621,26,2.0,VoterID,568188.0,956496.0,0,0,0,0
4520,34,2.0,Aadhar,487128.0,759780.0,23,11,0,0
423,48,2.0,VoterID,624936.0,933816.0,0,0,0,0
2211,45,2.0,Aadhar,597156.0,1296132.0,0,0,0,0
6768,46,2.0,VoterID,608196.0,910848.0,0,0,0,0
882,32,1.0,Aadhar,984396.0,1359792.0,0,0,0,0
3335,32,1.0,Aadhar,660108.0,758760.0,9,6,0,1
1254,37,1.0,Aadhar,794028.0,900000.0,2,2,0,0
5016,26,1.0,Aadhar,478728.0,708672.0,0,0,0,1
6615,47,1.0,Aadhar,365808.0,723384.0,0,0,0,0
4324,35,1.0,Driving,603336.0,825492.0,2,2,0,1
4087,40,2.0,Aadhar,534132.0,813492.0,9,6,0,0
6522,23,,Aadhar,777600.0,940320.0,3,2,0,1
4529,30,1.0,Aadhar,390000.0,674148.0,2,0,0,0
103,38,,Aadhar,630636.0,816012.0,12,3,0,1
2345,28,2.0,VoterID,841476.0,1160904.0,12,7,0,0
4273,35,1.0,Aadhar,530460.0,706140.0,0,0,0,1
6637,24,1.0,Aadhar,852924.0,1057560.0,2,2,0,1
3470,34,2.0,VoterID,1157880.0,1919352.0,4,2,0,1
5439,37,2.0,Aadhar,697908.0,885240.0,0,0,0,1
1581,33,1.0,Aadhar,603636.0,834000.0,0,0,0,0
3541,30,2.0,Aadhar,687756.0,780648.0,0,0,0,1
3438,26,,Aadhar,678156.0,880200.0,0,0,0,1
5282,29,2.0,Aadhar,365808.0,927732.0,0,0,0,0
4587,41,2.0,Aadhar,615636.0,748296.0,0,0,0,1
5158,33,1.0,Aadhar,597636.0,872664.0,7,4,0,0
136,36,2.0,Aadhar,559980.0,884016.0,3,2,0,0
2035,33,1.0,Aadhar,488328.0,559200.0,0,0,0,0
3760,48,1.0,Aadhar,521328.0,706140.0,3,2,0,0
3796,29,1.0,Aadhar,728364.0,843396.0,0,0,0,0
6293,41,1.0,Aadhar,790584.0,973200.0,0,0,0,1
4667,48,1.0,Aadhar,576588.0,793992.0,0,0,0,0
3661,26,1.0,Aadhar,861804.0,1231008.0,0,0,0,1
2616,29,1.0,Aadhar,790584.0,1015200.0,4,2,0,1
5040,42,1.0,Aadhar,437268.0,837540.0,3,2,0,0
4113,44,2.0,Driving,788184.0,970596.0,6,3,0,1
5964,47,2.0,Aadhar,691404.0,802128.0,4,2,0,1
2095,25,2.0,Aadhar,486108.0,811332.0,0,0,0,1
2108,37,2.0,Aadhar,461268.0,852312.0,2,0,0,0
808,41,1.0,Aadhar,772584.0,1000080.0,3,2,0,1
463,39,1.0,Aadhar,559260.0,737580.0,4,2,0,0
880,26,1.0,VoterID,790584.0,1184340.0,0,0,0,1
3210,31,1.0,Aadhar,909012.0,1392000.0,5,3,1,1
4386,25,2.0,Aadhar,750756.0,1196904.0,2,2,0,0
6218,36,1.0,Aadhar,726156.0,881760.0,4,3,0,0
4523,25,2.0,VoterID,731520.0,912156.0,0,0,0,0
5577,43,2.0,Aadhar,534444.0,745896.0,4,0,0,1
800,28,2.0,Aadhar,524388.0,809580.0,0,0,0,1
355,31,2.0,Aadhar,724164.0,837060.0,0,0,0,0
2678,43,2.0,Aadhar,597156.0,850356.0,0,0,0,0
1074,40,2.0,Aadhar,663108.0,778224.0,2,0,0,0
2578,44,2.0,Aadhar,594936.0,885384.0,0,0,0,0
2113,44,2.0,Aadhar,606936.0,828000.0,8,4,0,1
145,34,1.0,Aadhar,711108.0,909300.0,6,4,0,0
381,44,1.0,Aadhar,759600.0,870696.0,0,0,0,1
1341,33,2.0,Aadhar,643668.0,894060.0,4,3,0,0
3389,22,,Aadhar,508728.0,861372.0,2,0,0,0
4327,30,1.0,Aadhar,450120.0,650280.0,0,0,0,0
122,41,2.0,VoterID,413268.0,549900.0,0,0,0,0
4297,35,1.0,Aadhar,633636.0,839796.0,0,0,0,0
4511,30,2.0,VoterID,548940.0,998340.0,0,0,0,1
1361,45,2.0,Aadhar,583788.0,811188.0,8,5,0,0
419,29,2.0,VoterID,642036.0,841248.0,0,0,0,0
6092,42,2.0,Aadhar,608508.0,731604.0,2,2,0,1
5511,48,1.0,Aadhar,784584.0,893400.0,0,0,0,0
1515,28,2.0,VoterID,401808.0,603912.0,3,3,0,1
6051,26,1.0,Aadhar,638136.0,748236.0,0,0,0,0
4169,26,2.0,Aadhar,770556.0,1179300.0,0,0,0,1
2510,46,1.0,Aadhar,871476.0,1010400.0,3,3,0,1
3820,35,1.0,Aadhar,613536.0,734820.0,0,0,0,1
556,44,2.0,PAN,619680.0,788916.0,0,0,0,1
2003,43,2.0,PAN,615636.0,919668.0,0,0,0,0
3500,31,2.0,Aadhar,504168.0,855660.0,0,0,0,0
2665,30,1.0,Aadhar,705756.0,798000.0,2,2,0,1
1486,36,1.0,Aadhar,619836.0,875556.0,2,2,0,0
4985,29,1.0,Aadhar,778788.0,1012872.0,0,0,0,1
1273,49,1.0,VoterID,504972.0,914244.0,4,3,0,1
6557,37,2.0,Aadhar,757284.0,1075656.0,2,2,0,1
1412,38,2.0,Aadhar,906948.0,1256580.0,2,0,0,0
6262,44,2.0,Aadhar,342348.0,697020.0,10,3,0,0
6745,33,1.0,PAN,670128.0,898380.0,0,0,0,0
1472,32,1.0,Aadhar,603636.0,808344.0,0,0,0,1
6837,34,2.0,Driving,597636.0,838860.0,4,3,0,0
6199,34,1.0,Aadhar,568188.0,853860.0,5,5,0,0
4585,39,1.0,Aadhar,654156.0,811836.0,14,9,0,0
5599,46,2.0,Aadhar,726516.0,942612.0,18,10,0,0
4127,41,1.0,Aadhar,626556.0,772308.0,2,2,0,0
6981,41,2.0,Aadhar,536940.0,747840.0,0,0,0,1
3130,49,2.0,VoterID,737604.0,903048.0,0,0,0,1
2313,48,1.0,Aadhar,621336.0,858300.0,8,5,0,1
2837,41,2.0,Aadhar,737364.0,858528.0,0,0,0,0
6571,36,2.0,Aadhar,699108.0,824484.0,5,5,0,1
982,26,1.0,Aadhar,718476.0,860136.0,0,0,0,1
5936,46,2.0,Aadhar,904752.0,1194000.0,5,4,0,0
2156,36,2.0,Aadhar,784584.0,898620.0,0,0,0,0
3209,31,2.0,Aadhar,597636.0,904800.0,0,0,0,0
6168,41,1.0,Aadhar,682956.0,846972.0,4,4,0,0
1269,45,2.0,Aadhar,651108.0,797148.0,0,0,0,1
415,30,1.0,Aadhar,574188.0,776136.0,0,0,0,1
269,40,1.0,Aadhar,665472.0,785724.0,2,2,0,1
3194,42,1.0,VoterID,719364.0,852624.0,0,0,0,1
655,41,2.0,Aadhar,681108.0,1243452.0,0,0,0,0
3017,38,1.0,Aadhar,541740.0,651912.0,3,3,0,0
5021,46,1.0,Aadhar,690156.0,806280.0,0,0,0,1
6286,43,1.0,Aadhar,547188.0,881052.0,8,0,0,1
2742,48,2.0,PAN,868404.0,1197852.0,0,0,0,1
2311,34,1.0,Aadhar,666000.0,900972.0,9,4,0,0
3498,43,2.0,Aadhar,611736.0,843768.0,0,0,0,0
774,37,2.0,Aadhar,618936.0,832416.0,0,0,0,0
2419,29,2.0,Aadhar,570000.0,779544.0,0,0,0,1
590,41,2.0,VoterID,679548.0,873252.0,3,2,0,0
6997,41,2.0,Aadhar,681108.0,791040.0,4,4,0,1
3426,46,2.0,Aadhar,645756.0,936936.0,0,0,0,0
5051,42,1.0,Aadhar,529128.0,675600.0,5,4,0,0
3556,24,1.0,Aadhar,711108.0,1161924.0,0,0,0,0
3821,44,2.0,Aadhar,638436.0,776508.0,0,0,0,1
3862,34,2.0,Aadhar,731364.0,885372.0,0,0,0,0
3329,36,1.0,Aadhar,645636.0,796440.0,0,0,0,1
3106,45,2.0,Aadhar,719676.0,935544.0,4,2,0,0
702,36,2.0,Aadhar,884604.0,1019808.0,0,0,0,0
3035,29,1.0,Aadhar,562188.0,676440.0,0,0,0,0
2276,39,2.0,VoterID,665112.0,977280.0,0,0,0,0
4211,27,2.0,Aadhar,865476.0,1227600.0,0,0,0,1
678,44,2.0,VoterID,342348.0,817416.0,0,0,0,0
2706,28,1.0,Aadhar,574188.0,695076.0,0,0,0,1
4691,26,1.0,Aadhar,645636.0,796776.0,0,0,0,1
6886,40,1.0,Aadhar,687744.0,853344.0,12,5,0,0
2319,33,2.0,Aadhar,609936.0,721536.0,3,2,0,0
4867,28,2.0,PAN,600936.0,756000.0,0,0,0,1
694,30,2.0,VoterID,1015440.0,1398252.0,0,0,0,1
1514,37,2.0,VoterID,397692.0,968832.0,0,0,0,0
2847,32,1.0,Aadhar,642636.0,748344.0,0,0,0,1
6817,41,2.0,PAN,743364.0,926460.0,0,0,0,0
6150,34,2.0,Aadhar,794028.0,1073184.0,0,0,0,1
111,33,2.0,Aadhar,803628.0,1255164.0,0,0,0,0
3019,49,1.0,Aadhar,633336.0,816276.0,6,3,0,0
5983,48,2.0,VoterID,615636.0,852000.0,4,2,0,1
3136,41,2.0,VoterID,586452.0,778356.0,0,0,0,1
2339,36,2.0,Aadhar,815556.0,1152000.0,0,0,0,1
6335,43,2.0,Aadhar,461268.0,882000.0,0,0,0,1
3025,39,1.0,Driving,686292.0,896076.0,0,0,0,0
857,34,2.0,Aadhar,812184.0,978000.0,6,2,0,1
5748,26,1.0,Aadhar,556800.0,875748.0,0,0,0,1
4597,37,2.0,VoterID,704556.0,897684.0,6,3,0,0
5996,26,2.0,Aadhar,606564.0,807840.0,0,0,0,0
5494,45,2.0,Aadhar,672156.0,780864.0,43,7,0,1
4884,36,2.0,Aadhar,636936.0,830040.0,2,0,0,1
1898,28,2.0,Aadhar,1127316.0,1663464.0,10,3,0,1
4363,44,1.0,Aadhar,594036.0,785820.0,0,0,0,0
1967,32,2.0,Aadhar,1138788.0,1976400.0,0,0,0,0
5654,31,2.0,Aadhar,1721736.0,2129244.0,6,0,0,1
2019,44,2.0,Aadhar,687108.0,991428.0,2,2,0,0
2408,46,2.0,Aadhar,794028.0,945228.0,2,2,0,1
3001,47,1.0,Aadhar,556140.0,968400.0,0,0,0,0
2303,31,2.0,VoterID,794028.0,1096440.0,0,0,0,0
1469,27,1.0,Aadhar,627636.0,787392.0,4,3,0,0
5145,37,1.0,Aadhar,788244.0,956544.0,0,0,0,0
2964,29,2.0,Aadhar,615636.0,853320.0,0,0,0,1
6132,48,2.0,Aadhar,754164.0,960000.0,0,0,0,1
4025,45,2.0,Aadhar,692556.0,800280.0,5,5,1,0
5221,34,2.0,Aadhar,645108.0,951480.0,0,0,0,0
108,31,2.0,Aadhar,700956.0,906000.0,6,2,0,1
30,27,2.0,Aadhar,532188.0,953868.0,3,3,0,1
3816,47,2.0,Aadhar,603636.0,799548.0,3,2,0,0
3115,26,1.0,Aadhar,592188.0,800364.0,0,0,0,0
5285,34,1.0,Aadhar,658956.0,826260.0,0,0,0,1
2663,27,2.0,PAN,499536.0,830364.0,0,0,0,1
5957,47,2.0,Aadhar,413268.0,851892.0,0,0,0,0
752,33,2.0,Aadhar,672156.0,833796.0,0,0,0,0
3133,37,1.0,Aadhar,699708.0,930948.0,9,5,0,0
585,46,2.0,VoterID,634836.0,908148.0,2,2,0,1
1221,41,2.0,VoterID,633876.0,860760.0,0,0,0,0
2595,47,2.0,VoterID,670632.0,1077636.0,2,2,0,1
1776,32,1.0,Aadhar,568188.0,696000.0,2,0,0,0
5857,37,2.0,Aadhar,656556.0,1062060.0,0,0,0,1
6015,26,1.0,Aadhar,318348.0,896964.0,0,0,0,0
549,49,1.0,Aadhar,768984.0,984000.0,4,4,0,0
5413,43,1.0,Aadhar,866604.0,1188480.0,0,0,0,1
4311,44,2.0,Aadhar,711108.0,802284.0,2,0,0,0
2922,48,2.0,Aadhar,679524.0,1100292.0,3,2,0,0
6507,32,1.0,Aadhar,774828.0,991332.0,0,0,0,1
6592,32,1.0,Aadhar,708156.0,912336.0,3,3,0,0
5763,40,2.0,Aadhar,639636.0,827448.0,27,13,0,0
6742,36,2.0,Aadhar,657108.0,875424.0,3,2,0,0
6846,30,2.0,Aadhar,873804.0,1458000.0,0,0,0,1
1946,39,2.0,Aadhar,655356.0,769980.0,0,0,0,1
4914,41,1.0,Aadhar,722556.0,855480.0,0,0,0,1
5787,40,2.0,Aadhar,651108.0,818112.0,0,0,0,0
345,41,2.0,Aadhar,527148.0,853128.0,7,2,0,0
6230,35,2.0,Aadhar,686988.0,870000.0,2,2,0,1
5222,38,1.0,PAN,673068.0,875532.0,0,0,0,0
1576,26,2.0,Aadhar,676692.0,871572.0,0,0,0,1
2489,43,1.0,Aadhar,489528.0,750696.0,0,0,0,0
6563,33,1.0,Driving,698508.0,1085100.0,0,0,0,0
4162,35,2.0,Aadhar,830028.0,937128.0,2,2,0,1
2752,49,2.0,Aadhar,809028.0,977340.0,3,0,0,0
2869,36,2.0,Aadhar,632436.0,810504.0,0,0,0,0
6094,30,2.0,Aadhar,1166508.0,1854000.0,0,0,0,0
2127,46,1.0,Aadhar,597636.0,910308.0,0,0,0,0
91,46,2.0,PAN,696156.0,998880.0,0,0,0,1
3413,43,2.0,VoterID,782028.0,962640.0,2,2,0,0
4316,32,2.0,Aadhar,570816.0,928104.0,2,0,0,1
5160,36,1.0,Aadhar,696156.0,830136.0,3,2,0,0
2228,34,1.0,Aadhar,676956.0,844200.0,0,0,0,1
5867,41,2.0,Aadhar,648156.0,883224.0,0,0,0,0
625,36,1.0,Aadhar,562188.0,802932.0,0,0,0,0
70,38,2.0,VoterID,715188.0,1247304.0,0,0,0,1
890,37,2.0,Aadhar,612936.0,824172.0,0,0,0,0
5782,28,1.0,Aadhar,626136.0,715200.0,0,0,0,0
5305,49,1.0,Aadhar,755364.0,857400.0,2,2,0,1
4513,38,2.0,Aadhar,573588.0,768000.0,2,0,0,0
4606,47,2.0,Aadhar,755364.0,959532.0,0,0,0,0
3870,28,2.0,Aadhar,847476.0,1086696.0,3,3,0,1
2955,46,2.0,Aadhar,807228.0,1142952.0,0,0,0,0
948,35,2.0,Aadhar,680556.0,780000.0,0,0,0,1
878,35,2.0,Aadhar,727764.0,941352.0,0,0,0,0
2949,27,,Aadhar,330348.0,888000.0,0,0,0,0
6534,47,1.0,Aadhar,694956.0,897600.0,0,0,0,1
2597,47,1.0,Aadhar,824028.0,936120.0,2,0,0,0
294,27,1.0,Aadhar,663108.0,846000.0,3,3,0,0
3204,27,1.0,Aadhar,473292.0,789252.0,0,0,0,0
6212,28,1.0,Aadhar,608436.0,782652.0,0,0,0,0
446,37,2.0,Aadhar,493728.0,849552.0,19,17,1,0
4382,38,2.0,Aadhar,651108.0,857520.0,16,11,0,0
1920,42,1.0,Aadhar,707280.0,951480.0,7,5,0,0
2143,39,2.0,VoterID,603636.0,951156.0,0,0,0,0
6170,40,1.0,Aadhar,654156.0,842400.0,0,0,0,0
1840,35,2.0,Aadhar,612936.0,731868.0,2,0,0,1
